Item Code,Item Name,Barcode,Brand,Supplier,Brand Source,Supplier Source
56787,56787,897865456456787,,,Not found in dump,No supplier rows in product_supplierinfo dump section
57370,57370,4342939057370,,,Not found in dump,No supplier rows in product_supplierinfo dump section
57374,57374,8901248257374,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5757,5757,575757,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5762,اساور فان كليف,57625762,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5786,5786,57865786,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5801,5801,58015801,,,Not found in dump,No supplier rows in product_supplierinfo dump section
58174,58174,9112912458174,,,Not found in dump,No supplier rows in product_supplierinfo dump section
58439,58439,8992803658439,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5858,5858,585858,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5897,5897,8888086785897,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5959,5959,595959,,,Not found in dump,No supplier rows in product_supplierinfo dump section
59684,59684,6291107459684,,,Not found in dump,No supplier rows in product_supplierinfo dump section
603132,603132,6926633603132,,,Not found in dump,No supplier rows in product_supplierinfo dump section
